date,DW_SW,DW_LW,Air_Temp,SPFH,Pa,Precip,WS_u,WS_v,Albedo,LE_model,RH
2005-01-27,168.3583358,292.9875044,281.9583375,0.006504167,87485.0,2.300000034,3.170833381,3.775000056,0.166038592,15.515846176351616,0.8822843818663657
2005-01-28,177.4791693,237.1291702,280.0916708,0.004370833,87784.16667,0.0,2.775000041,-0.087500001,0.16616894,9.437552407664864,0.6765945083972392
2005-01-29,179.4166693,217.9625032,279.7500042,0.002825,87577.08333,0.0,2.287500034,1.954166696,0.166299291,8.096492786913462,0.4467610648289513
2005-01-30,169.4208359,244.608337,277.0750041,0.003629167,87368.33333,0.0,3.36250005,-1.062500016,0.166429639,4.369169516648378,0.6912387924587544
2005-01-31,181.0541694,239.3208369,277.5000041,0.003695833,87658.75,0.0,-2.133333365,-2.108333365,0.166559991,3.510858592259833,0.6852620319959262
2005-02-01,151.4125023,259.4958372,276.6208375,0.002879167,87586.25,0.0,-4.087500061,-0.325000005,0.166694157,2.7085446309496533,0.5678578720530488
2005-02-02,153.0000023,239.9333369,277.2708375,0.003270833,87730.41667,0.0,-6.041666757,-0.512500008,0.16682069,1.680094189258405,0.6169149612004485
2005-02-03,185.2125028,261.6333372,277.5500041,0.003033333,87898.33333,0.0,-9.358333473,1.766666693,0.166951042,1.7120486416207632,0.561965349596722
2005-02-04,93.32916806,284.5000042,278.2583375,0.003325,87898.75,3.400000051,-6.158333425,2.179166699,0.167129074,8.822264410567152,0.5859109085917904
2005-02-05,166.8750025,265.162504,277.9666708,0.004445833,87400.83333,0.70000001,-0.495833341,2.420833369,0.167928904,7.365177867312435,0.7951828165742054
2005-02-06,150.7375022,293.6625044,278.2833375,0.004495833,87353.33333,4.600000069,3.175000047,4.570833401,0.167733099,25.369342871167483,0.785925753607599
2005-02-07,174.7750026,276.4375041,280.7625042,0.005233333,87625.83333,0.0,2.104166698,5.366666747,0.167611678,15.852060212428796,0.7719401777416938
2005-02-08,192.0375029,258.3250038,279.6375042,0.0044,87622.08333,0.0,2.287500034,2.720833374,0.167644118,10.996932128082948,0.701675802818525
2005-02-09,184.7291694,239.5041702,279.8000042,0.0039625,87639.16667,0.0,-0.462500007,1.387500021,0.167748399,7.068470994681444,0.6249166392987577
2005-02-10,69.67500104,308.0250046,282.1458375,0.004875,87596.25,0.800000012,-3.045833379,2.875000043,0.167864128,5.724062829936304,0.6537008979802033
