site,camera,date,well,latitude,longitude,fc,dtgw,fp,pred
Hunter,4.0,2014-10-28,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.297291666666666,1.0,0
Hunter,4.0,2014-10-29,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.235625,1.0,0
Hunter,4.0,2014-10-30,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.238125000000002,1.0,0
Hunter,4.0,2014-10-31,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.251458333333334,1.0,0
Hunter,4.0,2014-11-01,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.225625,1.0,0
Hunter,4.0,2014-11-02,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.204791666666667,1.0,0
Hunter,4.0,2014-11-03,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.232291666666667,1.0,0
Hunter,4.0,2014-11-04,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.242083333333333,1.0,0
Hunter,4.0,2014-11-05,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.230416666666668,1.0,0
Hunter,4.0,2014-11-06,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.251041666666666,1.0,0
Hunter,4.0,2014-11-07,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.241666666666667,1.0,0
Hunter,4.0,2014-11-08,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.196666666666667,1.0,0
Hunter,4.0,2014-11-09,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.172916666666666,1.0,0
Hunter,4.0,2014-11-10,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.156041666666667,1.0,0
Hunter,4.0,2014-11-11,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.17375,1.0,0
Hunter,4.0,2014-11-12,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.170625,1.0,0
Hunter,4.0,2014-11-13,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.179375,1.0,0
Hunter,4.0,2014-11-14,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.155833333333334,1.0,0
Hunter,4.0,2014-11-15,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.182916666666666,1.0,0
Hunter,4.0,2014-11-16,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.152916666666668,1.0,0
Hunter,4.0,2014-11-17,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.174999999999999,1.0,0
Hunter,4.0,2014-11-18,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.172916666666666,1.0,0
Hunter,4.0,2014-11-19,Cotblm,31.48088171457681,-110.1185904409986,2.0,15.145000000000001,1.0,0
