site_no,datetime,height_abv_lowest_ft,dec_lat_va,dec_long_va,dist_to_stream_km
312642110063701,2008-07-03,1.139999999999418,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2008-08-20,2.4099999999998545,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2008-11-20,1.6199999999998909,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2009-02-25,1.7600000000002183,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2009-06-10,1.1899999999995998,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2009-09-04,0.8699999999998909,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2009-11-18,1.3099999999994907,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2010-03-17,1.550000000000182,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2010-05-13,1.4899999999997817,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2010-09-01,2.449999999999818,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2010-11-23,1.5999999999994543,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2011-07-20,1.1199999999998909,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2011-07-27,1.1799999999993815,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2011-09-22,0.8699999999998909,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2012-03-20,1.4200000000000728,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2012-06-18,0.7799999999997453,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2012-09-12,2.25,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2013-05-29,1.2299999999995634,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2013-07-01,0.75,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2013-10-30,1.519999999999527,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2014-01-07,1.769999999999527,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2014-04-02,1.699999999999818,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2014-06-25,1.0100000000002183,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2014-11-03,2.380000000000109,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2015-01-14,2.369999999999891,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2015-04-15,2.300000000000182,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2015-07-14,1.6799999999993815,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2015-10-07,1.9299999999993815,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2016-01-20,2.369999999999891,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2016-04-19,2.2399999999997817,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2016-06-28,1.519999999999527,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2016-10-19,1.6599999999998545,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2017-01-18,2.1099999999996726,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2017-04-25,1.769999999999527,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2017-06-28,1.1099999999996726,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2017-10-17,1.5599999999994907,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2018-01-10,2.0900000000001455,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2018-04-18,2.0399999999999636,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2018-06-21,1.4399999999995998,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2018-06-21,1.4299999999993815,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2018-10-25,2.3299999999999272,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2019-02-06,2.219999999999345,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2019-04-17,2.019999999999527,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2019-06-26,1.4799999999995634,31.44523056,-110.1109222,0.25415545289574876
312642110063701,2019-10-25,1.7299999999995634,31.44523056,-110.1109222,0.25415545289574876
