date,DW_SW,DW_LW,Air_Temp,SPFH,Pa,Precip,WS_u,WS_v,Albedo,LE_model,RH
2020-11-01,158.3000024,290.054171,291.0750043,0.003754167,98712.91667,0.0,-0.500000007,-0.837500012,0.174969729,0.8949507134035224,0.3150164347956243
2020-11-02,155.6583357,289.7333377,291.4500043,0.003958333,98671.66667,0.0,-0.800000012,-0.720833344,0.173932026,0.8840641005943811,0.3242006118644305
2020-11-03,153.2083356,291.9958377,290.6458377,0.003770833,98382.08333,0.0,-1.14583335,-0.258333337,0.172908313,0.9651132404354164,0.3240903844388542
2020-11-04,148.8000022,294.1125044,289.616671,0.004025,98702.08333,0.0,-1.487500022,-0.375000006,0.171870614,1.0762918993085635,0.3707043207847874
2020-11-05,146.2208355,311.1666713,292.1500044,0.004804167,98776.25,0.0,-0.358333339,-0.595833342,0.170846898,0.8410024513708642,0.3768478328443142
2020-11-06,131.5291686,299.5041711,289.5250043,0.005195833,97510.41667,0.0,2.804166708,0.145833336,0.169809198,1.2104737523315985,0.4755567448482916
2020-11-07,124.9166685,299.1750045,283.3875042,0.003991667,97213.75,0.200000003,1.012500015,-1.025000015,0.168785486,0.9618865001500234,0.5459669613040908
2020-11-08,133.0916686,260.4250039,283.6750042,0.0029375,97338.75,0.0,2.766666708,-1.879166695,0.167762406,1.115751971361463,0.3945645981151341
2020-11-09,143.2291688,236.0583369,282.3958375,0.001920833,98377.08333,0.0,1.12083335,-4.95416674,0.166724706,1.3747821899941963,0.2843783832154172
2020-11-10,129.3291686,276.9875041,280.1750042,0.002154167,98945.41667,0.0,-1.029166682,-0.154166669,0.165700994,0.8017520124661623,0.3736894604333634
2020-11-11,135.5416687,258.2583372,280.9875042,0.002891667,98571.66667,0.0,-1.333333353,-1.029166682,0.164663291,0.7155067716954615,0.4724236179377286
2020-11-12,136.7208354,250.9958371,281.1791709,0.003116667,98522.5,0.0,-0.670833343,-1.008333348,0.163639579,0.5650463944946224,0.5022544127946293
2020-11-13,40.50416727,302.5708378,283.9416709,0.004533333,98270.83333,0.900000013,-0.25416667,2.354166702,0.162616502,0.4240689422615915,0.6038030023285825
2020-11-14,78.39166783,305.1541712,282.5791709,0.005641667,98793.33333,0.0,-0.287500004,0.208333336,0.161578799,0.6432548574174547,0.8283744565154546
2020-11-15,97.54166812,322.2541715,283.7000042,0.005133333,98969.58333,0.0,-1.204166685,0.441666673,0.160555087,1.0914315802999233,0.6998799485423975
2020-11-16,126.7500019,291.9625044,284.9333376,0.00575,98740.83333,0.0,-1.379166687,-0.516666674,0.160075414,0.9254909668104228,0.7200344384988393
2020-11-17,38.92916725,320.1958381,286.4583376,0.006458333,97740.83333,6.900000103,-1.054166682,2.01250003,0.159633991,4.550083351322055,0.7235109922842958
2020-11-18,94.32916807,343.9625051,287.3458376,0.007570833,97917.08333,1.300000019,-0.416666673,1.912500028,0.159163957,13.988300712716155,0.8015410205069425
2020-11-19,117.9250018,284.4583376,284.2250042,0.005258333,98897.08333,0.0,0.600000009,0.129166669,0.158707272,6.16633442386834,0.6915346903554404
2020-11-20,121.8583351,253.0166704,284.2458376,0.003204167,99088.75,0.0,1.291666686,-3.000000045,0.158251225,9.04080252362703,0.4216135002725998
2020-11-21,130.9416686,233.9500035,284.5916709,0.002529167,98998.75,0.0,0.712500011,-2.912500043,0.157809802,6.655319839884138,0.3248737316979121
2020-11-22,118.8125018,257.4583372,284.1750042,0.0027,98532.08333,0.0,-0.47083334,-1.562500023,0.157354391,4.061047567440136,0.3549620890187577
2020-11-23,117.8583351,297.4000044,283.4250042,0.004279167,98219.58333,0.0,-0.587500009,-1.158333351,0.156898345,4.168460146557371,0.5898492331557843
2020-11-24,122.3083352,268.100004,285.0125042,0.003891667,98462.91667,0.0,0.300000004,-1.704166692,0.156456922,2.710989926400893,0.4833955664345606
2020-11-25,122.9125018,265.0083373,284.2875042,0.004566667,98576.66667,0.0,-0.925000014,-0.500000007,0.156001508,1.6713290920091473,0.5961204615573559
2020-11-26,123.6291685,244.2375036,284.6250042,0.002866667,99041.66667,0.0,1.12083335,-5.504166749,0.155530838,2.900754729783412,0.3675646012939497
2020-11-27,121.9875018,245.608337,285.9458376,0.002370833,98983.33333,0.0,0.408333339,-4.24166673,0.155074156,2.6793493624237223,0.2782392005782615
2020-11-28,121.4583351,244.508337,281.7791709,0.002829167,99048.33333,0.0,-0.70000001,-1.050000016,0.154632733,1.0313551135958343,0.4398596201367334
2020-11-29,118.8750018,246.8666703,282.8083375,0.002866667,98871.25,0.0,0.062500001,-1.241666685,0.154177322,0.9085657822976992,0.4147376801814409
2020-11-30,117.3375017,256.4833372,282.6375042,0.003179167,99004.58333,0.0,-2.329166701,-0.375000006,0.153721276,1.1627842605783387,0.4659474684738302
2020-12-01,117.0625017,257.8083372,284.3666709,0.003433333,99013.33333,0.0,0.379166672,-2.162500032,0.153265226,1.0773454654933254,0.4477790969479071
2020-12-02,114.620835,262.6666706,284.6708376,0.0027125,98697.5,0.0,0.170833336,-0.479166674,0.152823803,0.5828764234126238,0.3455274816355663
2020-12-03,110.1916683,293.041671,284.3083376,0.00275,98881.66667,0.0,0.037500001,-0.19166667,0.152368392,1.1302580730179597,0.3595853163868021
2020-12-04,114.808335,269.3916707,283.4541709,0.0032625,99186.25,0.0,1.191666684,-0.045833334,0.151897723,0.8227544149270596,0.4532416834337297
2020-12-05,106.3833349,265.625004,283.2375042,0.003191667,98972.5,0.0,0.520833341,0.19166667,0.151455664,0.4556918792562402,0.4489753499519875
2020-12-06,110.583335,287.9708376,282.9583375,0.003779167,99140.83333,0.0,1.137500017,-0.441666673,0.15100025,0.8911678155468473,0.5426920329035775
2020-12-07,114.8791684,259.2250039,289.5250043,0.003158333,99015.41667,0.0,1.587500024,-6.6875001,0.150544203,2.277685625527708,0.2935329687709554
2020-12-08,114.695835,260.1458372,286.8166709,0.002608333,98883.33333,0.0,0.500000007,-0.43333334,0.150088157,0.3094723231834609,0.2887273928061977
2020-12-09,107.1458349,259.2916705,282.9041709,0.002945833,98657.08333,0.0,0.129166669,-0.720833344,0.149646733,0.3763330242315114,0.4225101954289026
2020-12-10,113.1166684,269.862504,287.3083376,0.002766667,98262.5,0.0,0.883333346,-1.625000024,0.149191323,0.8782473400319282,0.2946692064924333
2020-12-11,58.0333342,286.3416709,282.5666709,0.003308333,98819.16667,0.500000007,1.254166685,-0.145833336,0.148735277,0.3715527829536962,0.4863079846870798
2020-12-12,90.40833468,326.4625049,281.1750042,0.005454167,98516.66667,3.900000058,-0.295833338,-0.929166681,0.148279227,6.065470609539927,0.8791452162682163
2020-12-13,36.97083388,322.6958381,282.2750042,0.005520833,98699.16667,10.80000016,-0.516666674,0.47083334,0.14782318,6.277971039126133,0.8268157969440509
2020-12-14,101.5875015,272.3625041,281.1791709,0.004645833,98854.16667,0.600000009,2.091666698,0.383333339,0.147367134,14.744837385862493,0.7512016081065471
2020-12-15,53.81666747,310.6500046,280.7875042,0.004254167,99154.58333,0.0,0.625000009,-0.020833334,0.146911088,7.614783255466113,0.7088440995295264
2020-12-16,50.60000075,303.7208379,279.9625042,0.004575,99110.83333,0.300000004,0.533333341,0.070833334,0.146595206,4.511981192107932,0.8067847953741932
2020-12-17,92.23750137,323.6416715,282.3750042,0.006125,98226.66667,9.700000145,0.283333338,0.475000007,0.146300041,24.798550938460163,0.9067031227758592
2020-12-18,105.5333349,253.0041704,282.7083375,0.003883333,98919.58333,0.0,1.658333358,-1.841666694,0.145990889,17.2580111884625,0.5659313489597013
2020-12-19,107.6958349,254.1541705,279.9250042,0.0041125,99385.41667,0.0,0.091666668,0.104166668,0.145681102,3.8314570460975337,0.7291322996808256
2020-12-20,107.3625016,262.3666706,281.0708375,0.00465,99367.08333,0.0,0.345833338,0.762500011,0.145371314,5.822262256128759,0.7614350751090454
2020-12-21,109.9291683,257.4375038,281.0166709,0.004795833,98685.83333,0.0,-0.233333337,0.416666673,0.145061523,3.731290470881584,0.7828472821134367
2020-12-22,109.1125016,264.2166706,280.5583375,0.004720833,98601.66667,0.0,0.454166673,-1.104166683,0.144766358,5.320687012142785,0.7947022413498706
2020-12-23,114.145835,236.0666702,283.4666709,0.002291667,99018.75,0.0,1.720833359,-3.445833385,0.144457206,13.351571987362806,0.3175631313304499
2020-12-24,106.3541683,234.6458368,279.0583375,0.0030125,99164.58333,0.0,-0.175000003,-0.645833343,0.144147418,1.4138901885760196,0.5661448777098836
2020-12-25,26.9125004,313.5000047,280.2041708,0.0041,98641.25,0.500000007,-0.462500007,-0.033333334,0.14383763,1.1853477283816038,0.707618762071729
2020-12-26,102.1500015,307.7041713,284.0250042,0.005829167,98490.83333,3.700000055,-0.554166675,2.02500003,0.143527843,13.093684365700287,0.7737859078281325
2020-12-27,103.0291682,266.5208373,280.5416708,0.004754167,98420.0,0.0,0.708333344,-0.933333347,0.143232678,4.505745748980112,0.799760725744671
2020-12-28,96.27500143,299.9583378,281.3958375,0.004066667,97619.58333,0.0,-0.033333334,-1.287500019,0.142923526,7.935255091524587,0.6397395891619914
2020-12-29,112.6916683,247.370837,281.6625042,0.003008333,98595.41667,0.0,1.450000022,-1.858333361,0.142613738,5.50753431882167,0.4693130500349872
2020-12-30,83.45833458,267.8458373,279.5833375,0.002925,99167.08333,0.0,0.075000001,0.545833341,0.142303951,1.9538760673374456,0.5299119130755011
2020-12-31,106.9041683,293.9083377,281.8166709,0.0049125,98824.16667,0.500000007,1.35000002,-0.100000001,0.142008786,4.405410272284225,0.7600792505113647
