site,camera,date,prcp,vpd,tmax,tmin,dtgw,et,fp,is_test_mask,fp_pred,fp_final,source
St.David,1.0754327901249365,2020-01-28,-0.2734546534706098,-0.7599945998531195,-1.1709937202041196,-1.2744141671648792,-0.42736618231999,-0.4608700189200741,1.0,True,,1,observed
St.David,1.0754327901249365,2020-01-29,-0.2734546534706098,-0.8783455273518485,-1.3680859587590315,-1.436782364871503,-0.42736618231999,-0.5150506534096481,1.0,False,,1,observed
St.David,1.0754327901249365,2020-01-30,-0.2734546534706098,-0.9006548739776215,-1.4107004968249583,-1.4647309890669054,-0.42736618231999,-0.5035903586623274,1.0,False,,1,observed
St.David,1.0754327901249365,2020-01-31,-0.2734546534706098,-0.8424435427862609,-1.3201446034348638,-1.438113251737951,-0.42736618231999,-0.5199047815151983,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-01,-0.2734546534706098,-0.5155878154183179,-0.827414007047584,-1.3941939851451755,-0.42736618231999,-0.532599978026763,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-02,-0.2734546534706098,-0.2929745548764353,-0.5091366758676932,-1.2611052985004019,-0.42736618231999,-0.5409850349678651,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-03,-0.2734546534706098,-0.5896561648325389,-0.9352820565269617,-0.9550013192174224,-0.42736618231999,-0.5436044257176358,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-04,-0.2734546534706098,-1.5512002498576822,-2.3881714637121556,-1.1266857249891804,-0.42736618231999,-0.54549754296426,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-05,-0.2734546534706098,-1.4382862261411729,-2.6278782403329948,-2.3763884925836054,-0.42736618231999,-0.5732474157630164,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-06,-0.2734546534706098,-1.1099613282303464,-1.860816555146311,-2.2326527110072494,-0.42736618231999,-0.5737979737945988,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-07,-0.2734546534706098,-0.7077250787984929,-1.116393843307151,-1.8387101985387195,-0.42736618231999,-0.5570568910219775,1.0,True,,1,observed
St.David,1.0754327901249365,2020-02-08,-0.2734546534706098,-0.2350147555210088,-0.4145856695339178,-1.5272826717899493,-0.42736618231999,-0.5592851318616866,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-09,-0.2734546534706098,-0.41994632797619424,-0.7062289144226045,-1.0508251736016594,-0.42736618231999,-0.5567163970762705,1.0,True,,1,observed
St.David,1.0754327901249365,2020-02-10,1.8342061120198119,-0.6055287997282975,-0.8553797976533487,-0.916405600090438,-0.42736618231999,-0.5500314065428256,1.0,True,,1,observed
St.David,1.0754327901249365,2020-02-11,1.8311247366316679,-1.5889064408429676,-2.3215862479841447,-1.2331566743049995,-0.42736618231999,-0.16229975109088113,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-12,-0.2734546534706098,-1.3121691112074045,-1.8914457543811958,-1.1493108017187919,-0.42736618231999,0.7623577148203884,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-13,-0.2734546534706098,-0.8836092810917147,-1.2815251783126174,-1.4407750254708462,-0.42736618231999,0.17006946639925685,1.0,True,,1,observed
St.David,1.0754327901249365,2020-02-14,-0.2734546534706098,-0.6960426733860918,-0.9885502291093702,-1.2384802217707902,-0.42736618231999,0.1555361157087556,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-15,-0.2734546534706098,-0.5594212904821475,-0.7981165121272594,-1.1958918420444626,-0.42736618231999,0.0514336697370449,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-16,-0.2734546534706098,-0.3661070634564293,-0.5517512139336196,-1.2384802217707902,-0.42736618231999,-0.15091854573298627,1.0,False,,1,observed
St.David,1.0754327901249365,2020-02-17,-0.2734546534706098,-0.46464770217265833,-0.6729363065585992,-1.0082367938753318,-0.42736618231999,-0.18527808320076014,1.0,False,,1,observed
